source_type,source_id,retrieval_time,word,pos,synset_id,sentence
indowordnet_example,12490,2026-05-02T09:29:53.136330+00:00,ವರ್ಗ,noun,12490,ಏಳರ ವರ್ಗ ನಲವತ್ತೊಂಬತ್ತು.
indowordnet_example,12491,2026-05-02T09:29:53.136348+00:00,ವರ್ಗ,noun,12491,ಇದು ಐದು ಸೆಂಟಿಮೀಟರ್ ನ ವರ್ಗ.
indowordnet_example,12492,2026-05-02T09:29:53.136361+00:00,ವರ್ಗ,noun,12492,ಭಾರತೀಯ ಲಿಪಿಗಳಲ್ಲಿ ವರ್ಗೀಯ ವ್ಯಂಜನಗಳಲ್ಲಿ ವರ್ಗಗಳನ್ನು ಆ ವರ್ಗದ ಮೊದಲ ವ್ಯಂಜನದ ಹೆಸರಿನಲ್ಲಿ ಕರೆಯುತ್ತಾರೆ.
indowordnet_example,14271,2026-05-02T09:29:53.136369+00:00,ವರ್ಗ,noun,14271,ನಾನು ಬ್ಯಾಂಕಿಗೆ ವರ್ಗಾವಣೆಗಾಗಿ ಅರ್ಜಿಯನ್ನು ನೀಡಿದ್ದೇನೆ.
indowordnet_example,3406,2026-05-02T09:29:53.136402+00:00,ವರ್ಗ,noun,3406,ಅರ್ಥವನ್ನು ಆಧರಿಸಿ ಈ ಶಬ್ದವನ್ನು ಮೂರು ವರ್ಗ ಮಾಡಬಹುದು.
indowordnet_example,37572,2026-05-02T09:29:53.136421+00:00,ವರ್ಗ,noun,37572,ಪುರಾಣದಲ್ಲಿ ಒಟ್ಟು ಎಂಬತ್ತನ್ಕಾಲು ಲಕ್ಷ ವರ್ಗಗಳು ಇವೆ ಎಂದು ಹೇಳುತ್ತದೆ
indowordnet_example,37603,2026-05-02T09:29:53.136428+00:00,ವರ್ಗ,noun,37603,ನಾಲ್ಕರ ವರ್ಗ ಎರಡು.
indowordnet_example,8463,2026-05-02T09:29:53.136453+00:00,ವರ್ಗ,noun,8463,ಈ ಕಾರ್ಯಾಲಯದ ಇಬ್ಬರು ಕರ್ಮಚಾರಿಗಳಿಗೆ/ಕೆಲಸಗಾರರಿಗೆ ವರ್ಗಾವಣೆಯಾಗಿದೆ.
indowordnet_example,8539,2026-05-02T09:29:53.136464+00:00,ವರ್ಗ,noun,8539,ನಮ್ಮ ಸಮಾಜ ಹಲವಾರು ಸಣ್ಣ-ಪುಟ್ಟ ವರ್ಗದಿಂದ ರಚಿಲಾಗಿದೆ.
indowordnet_example,10729,2026-05-02T09:29:54.204307+00:00,ಸಮೂಹ,noun,10729,ಹೊಲದಲ್ಲಿ ಪ್ರಾಣಿ ಸಮೂಹ ಸೇರಿಕೊಂಡು ಅಸ್ತವ್ಯಸ್ತ ಮಾಡಿತು
indowordnet_example,26689,2026-05-02T09:29:54.204364+00:00,ಸಮೂಹ,noun,26689,ಜೀವ ವಿಜ್ಞಾನದ ವಿದ್ಯಾರ್ಥಿಯಾದ ಕಾರಣ ನನಗೆ ಸಮೂಹದ ಬಗ್ಗೆ ಚೆನ್ನಾಗಿ ಗೊತ್ತಿದೆ.
indowordnet_example,11058,2026-05-02T09:29:54.949199+00:00,ಕಟ್ಟು,noun,11058,ಲೆಕ್ಕಪಾಲಕನು ಕಾಗದಗಳನ್ನು ಒಟ್ಟು ಗೂಡಿಸಿ ಕಟ್ಟುತ್ತಿದ್ದಾನೆ.
indowordnet_example,12459,2026-05-02T09:29:54.949263+00:00,ಕಟ್ಟು,noun,12459,ಅಪ್ಪ ಒಂದು ಕಟ್ಟು ಬೀಡಿ ತರಿಸಿದ.
