model,target_word,ari
indicbert,ಅರ್ಥ,0.33962264150943394
indicbert,ಕಬ್ಬಿ,0.4444444444444444
indicbert,ಕರಣ,-0.06060606060606061
indicbert,ಕಾಲ,0.0425531914893617
indicbert,ಕಾಲೆ,-0.2962962962962963
indicbert,ಕಿರಿಯ,0.16666666666666666
indicbert,ಕೂಲಿ,0.4444444444444444
indicbert,ಕೊಡು,0.0
indicbert,ಗಟ್ಟ,0.07407407407407407
indicbert,ಗುರುತ್ವ,0.24242424242424243
indicbert,ಚಕ್ರ,0.33962264150943394
indicbert,ಚಿತ್ರ,0.0
indicbert,ಜಲ,0.07407407407407407
indicbert,ತೆಗೆ,0.0
indicbert,ಧರಣಿ,0.07407407407407407
indicbert,ಧರಿಸು,-0.06060606060606061
indicbert,ನಕಲಿ,-0.2962962962962963
indicbert,ನೀಡ,-0.06060606060606061
indicbert,ನೀಲ,-0.2962962962962963
indicbert,ನೇತೃತ್ವ,-0.2962962962962963
indicbert,ನೋಡು,0.0
indicbert,ಪುಲ,0.4444444444444444
indicbert,ಪೆರೆಲೆ,-0.25
indicbert,ಪ್ರಭು,0.16666666666666666
indicbert,ಪ್ರೀತಿ,-0.2962962962962963
indicbert,ಬರು,0.0
indicbert,ಬಾಗ,0.07407407407407407
indicbert,ಬೀಜ,-0.06060606060606061
indicbert,ಬೆಳೆ,-0.06060606060606061
indicbert,ಬೋಳ,0.08163265306122448
indicbert,ಭಕ್ತ,0.07407407407407407
indicbert,ಮಾಡು,0.04
indicbert,ಮಾತು,-0.10344827586206896
indicbert,ಮುಕ್ತ,-0.2962962962962963
indicbert,ರಸ,0.06896551724137931
indicbert,ಲೇ,0.07407407407407407
indicbert,ಲೋಭಿ,0.0
indicbert,ವಹಿಸು,-0.2962962962962963
indicbert,ಸಾಕು,0.07407407407407407
indicbert,ಸಾಧಾರಣ,-0.5
indicbert,ಹಸ್ತ,-0.08333333333333333
indicbert,ಹಿರಿಯ,0.0
indicbert,ಹೊಡೆ,0.16666666666666666
indicbert,ಹೋಗು,-0.07692307692307693
mbert,ಅರ್ಥ,-0.18867924528301888
mbert,ಕಬ್ಬಿ,-0.06060606060606061
mbert,ಕರಣ,-0.25
mbert,ಕಾಲ,0.37623762376237624
mbert,ಕಾಲೆ,-0.2962962962962963
mbert,ಕಿರಿಯ,0.07407407407407407
mbert,ಕೂಲಿ,0.07407407407407407
mbert,ಕೊಡು,0.2222222222222222
mbert,ಗಟ್ಟ,-0.06060606060606061
mbert,ಗುರುತ್ವ,0.4444444444444444
mbert,ಚಕ್ರ,0.33962264150943394
mbert,ಚಿತ್ರ,-0.20689655172413793
mbert,ಜಲ,0.24242424242424243
mbert,ತೆಗೆ,0.0
mbert,ಧರಣಿ,-0.06060606060606061
